clip_id,path,sha256,license,source_url,source_ref,duration,sample_rate,channels,split,tempo_bpm,tempo_bucket,crop_start,crop_end,is_palette,is_source,is_reference,license_filter,license_ok
ref_0001_81bpm_lofi_drums_dataset_id_01_007067__center_001926,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0001_81bpm_lofi_drums_dataset_id_01_007067__center_001926.wav,43c37088efbaac3e9b236224ff86b8895b5bcd19c06d2f6403d84792b1cf3c78,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,81.000,mid_80_110,1.926168,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0002_82bpm_lofi_drums_dataset_id_01_007353__center_001854,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0002_82bpm_lofi_drums_dataset_id_01_007353__center_001854.wav,e3c0012dd7af847a6bf6bf364d23dd221bb971cb3ca549cbf41777f3087bebf1,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,82.000,mid_80_110,1.853605,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0003_83bpm_lofi_drums_dataset_id_01_007735__center_001783,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0003_83bpm_lofi_drums_dataset_id_01_007735__center_001783.wav,e011bf9391f552759985b05105b9effee26ef57d9a9b1a13887b2e32c9553ee8,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,83.000,mid_80_110,1.783220,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0004_85bpm_lofi_drums_dataset_id_01_008450__center_001648,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0004_85bpm_lofi_drums_dataset_id_01_008450__center_001648.wav,d61a37d39c910ae1ebf51c717d5243b9c6f6c5fa8ddfcfe45782c1d58613c5fc,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,85.000,mid_80_110,1.647528,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0005_86bpm_lofi_drums_dataset_id_01_008666__center_001581,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0005_86bpm_lofi_drums_dataset_id_01_008666__center_001581.wav,694493922b210d5cb93be1552aa96d79985d17e7a244b86891071230e7eeb055,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,86.000,mid_80_110,1.581497,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0006_88bpm_lofi_drums_dataset_id_01_009080__center_001455,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0006_88bpm_lofi_drums_dataset_id_01_009080__center_001455.wav,4cd0b0eef5026493a00d0a6bfe26a91deb036a2f9a854d4d14ebb408d3407874,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,88.000,mid_80_110,1.454512,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0007_89bpm_lofi_drums_dataset_id_01_009513__center_001394,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0007_89bpm_lofi_drums_dataset_id_01_009513__center_001394.wav,3091ab00a5fd7b064e48eba7c54e15cc6a7ecc4582fcbc1210739968b72143bc,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,89.000,mid_80_110,1.393560,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0008_90bpm_lofi_drums_dataset_id_01_009971__center_001334,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0008_90bpm_lofi_drums_dataset_id_01_009971__center_001334.wav,6aea91d76705f112e0d6327b4eec8f8f7dffbe0fba3a08d156b91ecd14d979e0,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,90.000,mid_80_110,1.334059,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0009_50bpm_lofi_drums_dataset_id_01_000105__center_005599,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0009_50bpm_lofi_drums_dataset_id_01_000105__center_005599.wav,f17fa937766b337fc132d4280be5f970d2b5a556022ab624860b899043c8d57c,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,50.000,slow_lt80,5.598549,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
ref_0010_55bpm_lofi_drums_dataset_id_01_000523__center_004726,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/original_refs/lofi_drums/0010_55bpm_lofi_drums_dataset_id_01_000523__center_004726.wav,bf440112ad40991fa5a5462e2b42d308f785096f0dd70843f85afbe861e1c68f,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,original_refs,55.000,slow_lt80,4.726349,8.000000,0,0,1,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
