clip_id,path,sha256,license,source_url,source_ref,duration,sample_rate,channels,split,tempo_bpm,tempo_bucket,crop_start,crop_end,is_palette,is_source,is_reference,license_filter,license_ok
src_0001_50bpm_lofi_drums_dataset_id_01_000290__center_005599,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0001_50bpm_lofi_drums_dataset_id_01_000290__center_005599.wav,aeb37d4dd1f281e8f5371041a12c242d59ef930745f2cc804bb95c7aebbd8c67,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,50.000,slow_lt80,5.598549,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0002_55bpm_lofi_drums_dataset_id_01_000615__center_004726,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0002_55bpm_lofi_drums_dataset_id_01_000615__center_004726.wav,729f3519bd3915f083f5337daadbbfc1496749575a71740989f0bc64a2c4805e,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,55.000,slow_lt80,4.726349,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0003_56bpm_lofi_drums_dataset_id_01_000890__center_004571,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0003_56bpm_lofi_drums_dataset_id_01_000890__center_004571.wav,5f277cdf7f100874f52367c5ddc5b2f048c0e233c0fce7f1a416f891bbe0df91,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,56.000,slow_lt80,4.571066,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0004_58bpm_lofi_drums_dataset_id_01_001278__center_004275,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0004_58bpm_lofi_drums_dataset_id_01_001278__center_004275.wav,226a73183931bd327c14b2b025a4031f5e9a85eedaee9e1fa6f84bf4694fe647,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,58.000,slow_lt80,4.275011,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0005_60bpm_lofi_drums_dataset_id_01_001833__center_003999,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0005_60bpm_lofi_drums_dataset_id_01_001833__center_003999.wav,45d73ee1a159562741e0d8b0d635f92f215fa8ed501f4ecab01daccff9d70d6e,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,60.000,slow_lt80,3.999274,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0006_62bpm_lofi_drums_dataset_id_01_002220__center_003741,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0006_62bpm_lofi_drums_dataset_id_01_002220__center_003741.wav,16a9c09cb81f6e41701376b4a47f1d49eae60c3e0c7200152cd7b44cb8560cd2,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,62.000,slow_lt80,3.740952,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0007_64bpm_lofi_drums_dataset_id_01_002471__center_003500,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0007_64bpm_lofi_drums_dataset_id_01_002471__center_003500.wav,ae23a88062d25e98637a06df47ad32cfa0c00cfbca9b41ef63fde5b9c80f52cd,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,64.000,slow_lt80,3.500045,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0008_65bpm_lofi_drums_dataset_id_01_002860__center_003385,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0008_65bpm_lofi_drums_dataset_id_01_002860__center_003385.wav,b50c56a9d27ff852140a34465b46aa3bf210c7f94aebd11f509fd584cea12af8,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,65.000,slow_lt80,3.384671,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0009_66bpm_lofi_drums_dataset_id_01_003193__center_003272,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0009_66bpm_lofi_drums_dataset_id_01_003193__center_003272.wav,d027fba3d5fb065995fbe1d65d3518b9f17c94e11dfe9efa3db4e557e9d306cc,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,66.000,slow_lt80,3.272200,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
src_0010_68bpm_lofi_drums_dataset_id_01_003813__center_003059,/home/manos/codes/neural-morphing/artifacts/validation/datasets/paper_eval_v1/source_eval/lofi_drums/0010_68bpm_lofi_drums_dataset_id_01_003813__center_003059.wav,d5f8e0a6869199c408c31ba81f4b8102678174f6ed8bebfe5cf0c737424688a8,CC-BY-4.0,https://doi.org/10.5281/zenodo.15493892,WaivOps Lo-Fi Drums Dataset DOI 10.5281/zenodo.15493892,8.000000,44100,2,source_eval,68.000,slow_lt80,3.058866,8.000000,0,1,0,"exact-allowed-licenses: CC-BY-3.0,CC-BY-4.0,CC-BY-SA-3.0,CC-BY-SA-4.0,CC0-1.0",1
